concept_en,lang,lang_name,native_text,roman_itrans,devanagari_translit,manual_reviewed,quality_note,native_script_detected,roman_script_detected,devanagari_script_detected,roman_equals_native,deva_equals_native
water,asm_Beng,Assamese,পানী,paanii,पानी,False,,Bengali,Latin,Devanagari,False,False
water,ben_Beng,Bengali,জল,jala,जल,False,,Bengali,Latin,Devanagari,False,False
water,guj_Gujr,Gujarati,પાણી,paaNii,पाणी,False,,Gujarati,Latin,Devanagari,False,False
water,hin_Deva,Hindi,जल,jala,जल,False,,Devanagari,Latin,Devanagari,False,True
water,mal_Mlym,Malayalam,വെള്ളം,v.eldlda.m,वॆळ्ळं,False,,Malayalam,Latin,Devanagari,False,False
water,mar_Deva,Marathi,पाणी,paaNii,पाणी,False,,Devanagari,Latin,Devanagari,False,True
water,ory_Orya,Odia,ପାଣି,paaNi,पाणि,False,,Oriya,Latin,Devanagari,False,False
water,pan_Guru,Punjabi,ਪਾਣੀ,paaNii,पाणी,False,,Gurmukhi,Latin,Devanagari,False,False
water,tam_Taml,Tamil,நீர்,niir,नीर्,False,,Tamil,Latin,Devanagari,False,False
sun,asm_Beng,Assamese,সূৰ্য,suuya,सूৰ्य,False,,Bengali,Latin,Mixed,False,False
sun,ben_Beng,Bengali,সূর্য,suurya,सूर्य,False,,Bengali,Latin,Devanagari,False,False
sun,guj_Gujr,Gujarati,સૂર્ય,suurya,सूर्य,False,,Gujarati,Latin,Devanagari,False,False
sun,hin_Deva,Hindi,सूर्य,suurya,सूर्य,False,,Devanagari,Latin,Devanagari,False,True
sun,mal_Mlym,Malayalam,സൂര്യൻ,suuryan,सूर्यൻ,False,,Malayalam,Latin,Mixed,False,False
sun,mar_Deva,Marathi,सूर्य,suurya,सूर्य,False,,Devanagari,Latin,Devanagari,False,True
sun,ory_Orya,Odia,ସୂର୍ଯ୍ୟ,suuryय़,सूर्य्य़,False,,Oriya,Mixed,Devanagari,False,False
sun,pan_Guru,Punjabi,ਸੂਰਜ,suuraja,सूरज,False,,Gurmukhi,Latin,Devanagari,False,False
sun,tam_Taml,Tamil,சூரியன்,chuuriya*n,चूरियऩ्,False,,Tamil,Latin,Devanagari,False,False
moon,asm_Beng,Assamese,চন্দ্ৰ,chand॰,चन्द्ৰ,False,,Bengali,Mixed,Mixed,False,False
moon,ben_Beng,Bengali,চাঁদ,chaaँda,चाँद,False,,Bengali,Mixed,Devanagari,False,False
moon,guj_Gujr,Gujarati,ચંદ્ર,cha.mdra,चंद्र,False,,Gujarati,Latin,Devanagari,False,False
moon,hin_Deva,Hindi,चंद्रमा,cha.mdramaa,चंद्रमा,False,,Devanagari,Latin,Devanagari,False,True
moon,mal_Mlym,Malayalam,ചന്ദ്രൻ,chandran,चन्द्रൻ,False,,Malayalam,Latin,Mixed,False,False
moon,mar_Deva,Marathi,चंद्र,cha.mdra,चंद्र,False,,Devanagari,Latin,Devanagari,False,True
moon,ory_Orya,Odia,ଚନ୍ଦ୍ରମା,chandramaa,चन्द्रमा,False,,Oriya,Latin,Devanagari,False,False
moon,pan_Guru,Punjabi,ਚੰਦਰਮਾ,cha॰daramaa,चੰदरमा,False,,Gurmukhi,Mixed,Mixed,False,False
moon,tam_Taml,Tamil,நிலவு,nilavu,निलवु,False,,Tamil,Latin,Devanagari,False,False
star,asm_Beng,Assamese,নক্ষত্ৰ,nakShat॰,नक्षत्ৰ,False,,Bengali,Mixed,Mixed,False,False
star,ben_Beng,Bengali,তারকা,taarakaa,तारका,False,,Bengali,Latin,Devanagari,False,False
star,guj_Gujr,Gujarati,તારા,taaraa,तारा,False,,Gujarati,Latin,Devanagari,False,False
star,hin_Deva,Hindi,तारा,taaraa,तारा,False,,Devanagari,Latin,Devanagari,False,True
star,mal_Mlym,Malayalam,നക്ഷത്രം,nakShatra.m,नक्षत्रं,False,,Malayalam,Latin,Devanagari,False,False
star,mar_Deva,Marathi,तारा,taaraa,तारा,False,,Devanagari,Latin,Devanagari,False,True
star,ory_Orya,Odia,ତାରା,taaraa,तारा,False,,Oriya,Latin,Devanagari,False,False
star,pan_Guru,Punjabi,ਤਾਰਾ,taaraa,तारा,False,,Gurmukhi,Latin,Devanagari,False,False
star,tam_Taml,Tamil,நட்சத்திரம்,naTchattiram,नट्चत्तिरम्,False,,Tamil,Latin,Devanagari,False,False
flower,asm_Beng,Assamese,ফুল,phula,फुल,False,,Bengali,Latin,Devanagari,False,False
flower,ben_Beng,Bengali,ফুল,phula,फुल,False,,Bengali,Latin,Devanagari,False,False
flower,guj_Gujr,Gujarati,ફૂલ,phuula,फूल,False,,Gujarati,Latin,Devanagari,False,False
flower,hin_Deva,Hindi,फूल,phuula,फूल,False,,Devanagari,Latin,Devanagari,False,True
flower,mal_Mlym,Malayalam,പൂവ്,puuv,पूव्,False,,Malayalam,Latin,Devanagari,False,False
flower,mar_Deva,Marathi,फुल,phula,फुल,False,,Devanagari,Latin,Devanagari,False,True
flower,ory_Orya,Odia,ଫୁଲ,phula,फुल,False,,Oriya,Latin,Devanagari,False,False
flower,pan_Guru,Punjabi,ਫੁੱਲ,phuॱla,फुੱल,False,,Gurmukhi,Mixed,Mixed,False,False
flower,tam_Taml,Tamil,பூ,puu,पू,False,,Tamil,Latin,Devanagari,False,False
tree,asm_Beng,Assamese,গাছ,gaaCha,गाछ,False,,Bengali,Latin,Devanagari,False,False
tree,ben_Beng,Bengali,গাছ,gaaCha,गाछ,False,,Bengali,Latin,Devanagari,False,False
tree,guj_Gujr,Gujarati,વૃક્ષ,vR^ikSha,वृक्ष,False,,Gujarati,Latin,Devanagari,False,False
tree,hin_Deva,Hindi,वृक्ष,vR^ikSha,वृक्ष,False,,Devanagari,Latin,Devanagari,False,True
tree,mal_Mlym,Malayalam,മരവും,maravu.m,मरवुं,False,,Malayalam,Latin,Devanagari,False,False
tree,mar_Deva,Marathi,झाड,jhaaDa,झाड,False,,Devanagari,Latin,Devanagari,False,True
tree,ory_Orya,Odia,ବୃକ୍ଷ,bR^ikSha,बृक्ष,False,,Oriya,Latin,Devanagari,False,False
tree,pan_Guru,Punjabi,ਰੁੱਖ,ruॱkha,रुੱख,False,,Gurmukhi,Mixed,Mixed,False,False
tree,tam_Taml,Tamil,மரங்கள்,mara~Nkald,मरङ्कळ्,False,,Tamil,Mixed,Devanagari,False,False
river,asm_Beng,Assamese,নদী,nadii,नदी,False,,Bengali,Latin,Devanagari,False,False
river,ben_Beng,Bengali,নদী,nadii,नदी,False,,Bengali,Latin,Devanagari,False,False
river,guj_Gujr,Gujarati,નદી,nadii,नदी,False,,Gujarati,Latin,Devanagari,False,False
river,hin_Deva,Hindi,नदी,nadii,नदी,False,,Devanagari,Latin,Devanagari,False,True
river,mal_Mlym,Malayalam,പുഴ,puzha,पुऴ,False,,Malayalam,Latin,Devanagari,False,False
river,mar_Deva,Marathi,नदी,nadii,नदी,False,,Devanagari,Latin,Devanagari,False,True
river,ory_Orya,Odia,ନଦୀ,nadii,नदी,False,,Oriya,Latin,Devanagari,False,False
river,pan_Guru,Punjabi,ਨਦੀ,nadii,नदी,False,,Gurmukhi,Latin,Devanagari,False,False
river,tam_Taml,Tamil,நதி,nati,नति,False,,Tamil,Latin,Devanagari,False,False
mountain,asm_Beng,Assamese,পৰ্ব্বত,pabbata,पৰ्ब्बत,False,,Bengali,Latin,Mixed,False,False
mountain,ben_Beng,Bengali,পাহাড়,paahaaDa़,पाहाड़,False,,Bengali,Mixed,Devanagari,False,False
mountain,guj_Gujr,Gujarati,પર્વત,parvata,पर्वत,False,,Gujarati,Latin,Devanagari,False,False
mountain,hin_Deva,Hindi,पर्वत,parvata,पर्वत,False,,Devanagari,Latin,Devanagari,False,True
mountain,mal_Mlym,Malayalam,മലനിരകൾ,malanirakald,मलनिरकൾ,False,,Malayalam,Latin,Mixed,False,False
mountain,mar_Deva,Marathi,डोंगर,Do.mgara,डोंगर,False,,Devanagari,Latin,Devanagari,False,True
mountain,ory_Orya,Odia,ପାହାଡ଼,paahaaDa़,पाहाड़,False,,Oriya,Mixed,Devanagari,False,False
mountain,pan_Guru,Punjabi,ਪਹਾੜ,pahaaड़,पहाड़,False,,Gurmukhi,Mixed,Devanagari,False,False
mountain,tam_Taml,Tamil,மலை,malai,मलै,False,,Tamil,Latin,Devanagari,False,False
house,asm_Beng,Assamese,ঘৰ,gha॰,घৰ,False,,Bengali,Mixed,Mixed,False,False
house,ben_Beng,Bengali,বাড়ি,baaDai,बाड़ि,False,,Bengali,Latin,Devanagari,False,False
house,guj_Gujr,Gujarati,ઘર,ghara,घर,False,,Gujarati,Latin,Devanagari,False,False
house,hin_Deva,Hindi,घर,ghara,घर,False,,Devanagari,Latin,Devanagari,False,True
house,mal_Mlym,Malayalam,വീട്,viiT,वीट्,False,,Malayalam,Latin,Devanagari,False,False
house,mar_Deva,Marathi,घर,ghara,घर,False,,Devanagari,Latin,Devanagari,False,True
house,ory_Orya,Odia,ଘର,ghara,घर,False,,Oriya,Latin,Devanagari,False,False
house,pan_Guru,Punjabi,ਘਰ,ghara,घर,False,,Gurmukhi,Latin,Devanagari,False,False
house,tam_Taml,Tamil,வீடு,viiTu,वीटु,False,,Tamil,Latin,Devanagari,False,False
door,asm_Beng,Assamese,দুৱাৰ,duaa॰,दुৱाৰ,False,,Bengali,Mixed,Mixed,False,False
door,ben_Beng,Bengali,দরজা,darajaa,दरजा,False,,Bengali,Latin,Devanagari,False,False
door,guj_Gujr,Gujarati,બારણું,baaraNu.m,बारणुं,False,,Gujarati,Latin,Devanagari,False,False
door,hin_Deva,Hindi,द्वार,dvaara,द्वार,False,,Devanagari,Latin,Devanagari,False,True
door,mal_Mlym,Malayalam,വാതിൽ,vaatil,वातिൽ,False,,Malayalam,Latin,Mixed,False,False
door,mar_Deva,Marathi,दरवाजा,daravaajaa,दरवाजा,False,,Devanagari,Latin,Devanagari,False,True
