concept_en,pair_name,pair_class,src_lang,tgt_lang,src_lang_name,tgt_lang_name,src_native,src_roman,src_devanagari,tgt_native,tgt_roman,tgt_devanagari,hindi_native
water,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,জল,jala,जल,પાણી,paaNii,पाणी,जल
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,પાણી,paaNii,पाणी,நீர்,niir,नीर्,जल
water,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পানী,paanii,पानी,জল,jala,जल,जल
water,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,जल,jala,जल,પાણી,paaNii,पाणी,जल
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,সূর্য,suurya,सूर्य,સૂર્ય,suurya,सूर्य,सूर्य
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,સૂર્ય,suurya,सूर्य,சூரியன்,chuuriya*n,चूरियऩ्,सूर्य
sun,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,সূৰ্য,suuya,सूৰ्य,সূর্য,suurya,सूर्य,सूर्य
sun,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,सूर्य,suurya,सूर्य,સૂર્ય,suurya,सूर्य,सूर्य
moon,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,চাঁদ,chaaँda,चाँद,ચંદ્ર,cha.mdra,चंद्र,चंद्रमा
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ચંદ્ર,cha.mdra,चंद्र,நிலவு,nilavu,निलवु,चंद्रमा
moon,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,চন্দ্ৰ,chand॰,चन्द्ৰ,চাঁদ,chaaँda,चाँद,चंद्रमा
moon,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,चंद्रमा,cha.mdramaa,चंद्रमा,ચંદ્ર,cha.mdra,चंद्र,चंद्रमा
star,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,তারকা,taarakaa,तारका,તારા,taaraa,तारा,तारा
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,તારા,taaraa,तारा,நட்சத்திரம்,naTchattiram,नट्चत्तिरम्,तारा
star,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,নক্ষত্ৰ,nakShat॰,नक्षत्ৰ,তারকা,taarakaa,तारका,तारा
star,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,तारा,taaraa,तारा,તારા,taaraa,तारा,तारा
flower,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,ফুল,phula,फुल,ફૂલ,phuula,फूल,फूल
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ફૂલ,phuula,फूल,பூ,puu,पू,फूल
flower,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ফুল,phula,फुल,ফুল,phula,फुल,फूल
flower,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,फूल,phuula,फूल,ફૂલ,phuula,फूल,फूल
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,গাছ,gaaCha,गाछ,વૃક્ષ,vR^ikSha,वृक्ष,वृक्ष
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,વૃક્ષ,vR^ikSha,वृक्ष,மரங்கள்,mara~Nkald,मरङ्कळ्,वृक्ष
tree,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,গাছ,gaaCha,गाछ,গাছ,gaaCha,गाछ,वृक्ष
tree,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,वृक्ष,vR^ikSha,वृक्ष,વૃક્ષ,vR^ikSha,वृक्ष,वृक्ष
river,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,নদী,nadii,नदी,નદી,nadii,नदी,नदी
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,નદી,nadii,नदी,நதி,nati,नति,नदी
river,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,নদী,nadii,नदी,নদী,nadii,नदी,नदी
river,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,नदी,nadii,नदी,નદી,nadii,नदी,नदी
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,পাহাড়,paahaaDa़,पाहाड़,પર્વત,parvata,पर्वत,पर्वत
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,પર્વત,parvata,पर्वत,மலை,malai,मलै,पर्वत
mountain,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পৰ্ব্বত,pabbata,पৰ्ब्बत,পাহাড়,paahaaDa़,पाहाड़,पर्वत
mountain,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,पर्वत,parvata,पर्वत,પર્વત,parvata,पर्वत,पर्वत
house,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,বাড়ি,baaDai,बाड़ि,ઘર,ghara,घर,घर
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ઘર,ghara,घर,வீடு,viiTu,वीटु,घर
house,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ঘৰ,gha॰,घৰ,বাড়ি,baaDai,बाड़ि,घर
house,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,घर,ghara,घर,ઘર,ghara,घर,घर
door,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,দরজা,darajaa,दरजा,બારણું,baaraNu.m,बारणुं,द्वार
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,બારણું,baaraNu.m,बारणुं,கதவு,katavu,कतवु,द्वार
door,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,দুৱাৰ,duaa॰,दुৱाৰ,দরজা,darajaa,दरजा,द्वार
door,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,द्वार,dvaara,द्वार,બારણું,baaraNu.m,बारणुं,द्वार
window,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,উইন্ডো,uinDo,उइन्डो,વિન્ડો,vinDo,विन्डो,खिड़की
window,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,વિન્ડો,vinDo,विन्डो,ஜன்னல்,ja*n*nal,जऩ्ऩल्,खिड़की
window,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,উইণ্ডো,uiNDo,उइण्डो,উইন্ডো,uinDo,उइन्डो,खिड़की
window,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,खिड़की,khiDa़kii,खिड़की,વિન્ડો,vinDo,विन्डो,खिड़की
road,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,পথ,patha,पथ,રસ્તો,rasto,रस्तो,सड़क
road,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,રસ્તો,rasto,रस्तो,சாலை,chaalai,चालै,सड़क
