concept_en,pair_name,pair_class,src_lang,tgt_lang,group,view,peak_layer,peak_mass,onset_layer,auc
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,english_gloss,first,25,0.7752015590667725,22,2.8794520568917363
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,english_gloss,last,0,0.0,-1,0.0
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,english_gloss,all,25,0.12920025984446207,24,0.47990867614862265
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,hindi_lexical,first,27,0.0025910388212651014,-1,0.002887171931898115
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,hindi_lexical,last,0,0.0,-1,0.0
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,hindi_lexical,all,27,0.00043183980354418355,-1,0.00048119532198301915
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_devanagari,first,27,0.0016724513843655586,-1,0.0017247628195402598
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_devanagari,last,0,0.0,-1,0.0
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_devanagari,all,27,0.00027874189739425975,-1,0.0002874604699233766
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_native,first,27,0.9515567421913147,27,0.9525626771741701
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_native,last,0,0.0,-1,0.0
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_native,all,27,0.19698658337195715,27,0.269411960797157
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_roman,first,15,0.0002721706696320325,-1,0.001718525622736663
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_roman,last,0,0.0,-1,0.0
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,target_roman,all,15,4.536177827200542e-05,-1,0.00028642093712277723
book,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,english_gloss,first,24,0.4342226982116699,23,1.2452076465817754
book,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,english_gloss,last,0,0.0,-1,0.0
