id,sentence_eng_Latn,sentence_hin_Deva,sentence_ben_Beng,sentence_guj_Gujr,src_text,tgt_text,english_text,hindi_text,pair_name,pair_class,src_lang,tgt_lang,src_lang_name,tgt_lang_name,src_word_count,src_roman,src_devanagari,sentence_tam_Taml,sentence_asm_Beng
4,The pilot was identified as Squadron Leader Dilokrit Pattavee.,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,পাইলটটি স্কোয়াড্রন লিডার দিলোকৃত পাত্তাভী হিসেবে শনাক্ত হয়েছিল।,પાઇલટની ઓળખ સ્ક્વૉડ્રન લીડર ડિલોક્રિટ પૅટ્ટાવી તરીકે થઈ.,পাইলটটি স্কোয়াড্রন লিডার দিলোকৃত পাত্তাভী হিসেবে শনাক্ত হয়েছিল।,પાઇલટની ઓળખ સ્ક્વૉડ્રન લીડર ડિલોક્રિટ પૅટ્ટાવી તરીકે થઈ.,The pilot was identified as Squadron Leader Dilokrit Pattavee.,पायलट की पहचान स्क्वाड्रन लीडर दिलोकृत पटावी के रूप में की गई.,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,8,paailaTaTi skoaaDrana liDaara dilokR^ita paattaabhii hisebe shanaakta haeChila।,पाइलटटि स्कोय़ाड्रन लिडार दिलोकृत पात्ताभी हिसेबे शनाक्त हय़ेछिल।,,
6,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे।,২৮ বছর বয়সী ভিদাল ৩ বছর আগে সেভিয়া থেকে বার্সেলোনায় যোগদান করেছিল।,28 વર્ષના વિદાલ ત્રણ સિઝન પહેલા બારકા સાથે જોડાયા હતા.,২৮ বছর বয়সী ভিদাল ৩ বছর আগে সেভিয়া থেকে বার্সেলোনায় যোগদান করেছিল।,28 વર્ષના વિદાલ ત્રણ સિઝન પહેલા બારકા સાથે જોડાયા હતા.,"28-year-old Vidal had joined Barça three seasons ago, from Sevilla.",28 वर्षीय विडाल तीन सीजन पहले सेविला से बारका में शामिल हुए थे।,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,12,28 baChara baय़sii bhidaala 3 baChara aage sebhiaa theke baarselonaaय़ yogadaana kareChila।,२८ बछर बय़सी भिदाल ३ बछर आगे सेभिय़ा थेके बार्सेलोनाय़ योगदान करेछिल।,,
7,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","कातलान की राजधानी (बार्सिलोना) में जाने के बाद से, विडाल ने क्लब के लिए 49 गेम खेले थे.",কাতালান-রাজধানীতে আসার পর থেকে ভিদাল ক্লাবটির হয়ে 49 টি গেম খেলেছিল।,કેટાલનની રાજધાનીમાં ગયા પછી વિડાલ ક્લબ માટે 49 રમતો રમ્યો હતા.,কাতালান-রাজধানীতে আসার পর থেকে ভিদাল ক্লাবটির হয়ে 49 টি গেম খেলেছিল।,કેટાલનની રાજધાનીમાં ગયા પછી વિડાલ ક્લબ માટે 49 રમતો રમ્યો હતા.,"Since moving to the Catalan-capital, Vidal had played 49 games for the club.","कातलान की राजधानी (बार्सिलोना) में जाने के बाद से, विडाल ने क्लब के लिए 49 गेम खेले थे.",ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,11,kaataalaana-raajadhaaniite aasaara para theke bhidaala klaabaTira hayae 49 Ti gema kheleChila।,कातालान-राजधानीते आसार पर थेके भिदाल क्लाबटिर हय़े 49 टि गेम खेलेछिल।,,
9,"Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","ठीक 11:00 बजे के बाद, व्हाइटहॉल में उत्तर की ओर जाने वाले ट्रैफ़िक को प्रदर्शनकारियों ने रोक दिया.","11:00 টার ঠিক পরে, বিক্ষোভকারীরা হোয়াইটহলের উত্তরদিকগামি যানচলাচল অবরোধ করেছিল।","11:00 વાગતાજ, વિરોધપ્રદર્શનકારીઓએ વાઇટહોલના નોર્થબોઉંડ કેરિએજ પર ટ્રાફિક રોકી દીધુ.","11:00 টার ঠিক পরে, বিক্ষোভকারীরা হোয়াইটহলের উত্তরদিকগামি যানচলাচল অবরোধ করেছিল।","11:00 વાગતાજ, વિરોધપ્રદર્શનકારીઓએ વાઇટહોલના નોર્થબોઉંડ કેરિએજ પર ટ્રાફિક રોકી દીધુ.","Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall.","ठीक 11:00 बजे के बाद, व्हाइटहॉल में उत्तर की ओर जाने वाले ट्रैफ़िक को प्रदर्शनकारियों ने रोक दिया.",ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,10,"11:00 Taara Thika pare, bikShobhakaariiraa hoyaaaiTahalera uttaradikagaami yaanachalaachala abarodha kareChila।","11:00 टार ठिक परे, बिक्षोभकारीरा होय़ाइटहलेर उत्तरदिकगामि यानचलाचल अबरोध करेछिल।",,
12,Nadal's head to head record against the Canadian is 7–2.,कनाडियन के खिलाफ नडाल का सीधा रिकॉर्ड 7-2 है।,কানাডার এই খেলোয়াড়ের বিরুদ্ধে নাদালের মুখোমুখি হওয়ার পরিসংখ্যান হলো ৭-২ ।,નાદલ અને કેનેડિયન વચ્ચે ની હરીફાઈ નો રેકોર્ડ 7-2 છે.,কানাডার এই খেলোয়াড়ের বিরুদ্ধে নাদালের মুখোমুখি হওয়ার পরিসংখ্যান হলো ৭-২ ।,નાદલ અને કેનેડિયન વચ્ચે ની હરીફાઈ નો રેકોર્ડ 7-2 છે.,Nadal's head to head record against the Canadian is 7–2.,कनाडियन के खिलाफ नडाल का सीधा रिकॉर्ड 7-2 है।,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,11,kaanaaDaara ei kheloaaera biruddhe naadaalera mukhomukhi haoaara parisa.mkhyaana halo 7-2 ।,कानाडार एइ खेलोय़ाड़ेर बिरुद्धे नादालेर मुखोमुखि हओय़ार परिसंख्यान हलो ७-२ ।,,
13,He recently lost against Raonic in the Brisbane Open.,वे हाल ही में ब्रिस्बेन ओपन में रोनिक के खिलाफ हार गए थे.,সম্প্রতি তিনি ব্রিসবেন ওপেনে রাওনিকের বিপক্ষে হেরেছেন,તાજેતરમાં બ્રિસ્બેન ઓપનમાં તેઓ રેઓનિક સામે હારી ગયા હતા.,সম্প্রতি তিনি ব্রিসবেন ওপেনে রাওনিকের বিপক্ষে হেরেছেন,તાજેતરમાં બ્રિસ્બેન ઓપનમાં તેઓ રેઓનિક સામે હારી ગયા હતા.,He recently lost against Raonic in the Brisbane Open.,वे हाल ही में ब्रिस्बेन ओपन में रोनिक के खिलाफ हार गए थे.,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,7,samprati tini brisabena opene raaonikera bipakShe hereChena,सम्प्रति तिनि ब्रिसबेन ओपेने राओनिकेर बिपक्षे हेरेछेन,,
14,Nadal bagged 88% net points in the match winning 76 points in the first serve.,फ़र्स्ट सर्व में नडाल को 76 मैच विनिंग पॉइंट्स में 88% नेट पॉइंट्स मिले.,নাদাল প্রথম সার্ভে ৭৬ পয়েন্ট নিয়ে ম্যাচটিতে ৮৮% নেট পয়েন্ট দখল করেছিল।,નડાલે પ્રથમ સર્વિસમાં 76 પોઇન્ટ જીતીને મેચમાં 88 ટકા નેટ પોઇન્ટ મેળવ્યા હતા.,নাদাল প্রথম সার্ভে ৭৬ পয়েন্ট নিয়ে ম্যাচটিতে ৮৮% নেট পয়েন্ট দখল করেছিল।,નડાલે પ્રથમ સર્વિસમાં 76 પોઇન્ટ જીતીને મેચમાં 88 ટકા નેટ પોઇન્ટ મેળવ્યા હતા.,Nadal bagged 88% net points in the match winning 76 points in the first serve.,फ़र्स्ट सर्व में नडाल को 76 मैच विनिंग पॉइंट्स में 88% नेट पॉइंट्स मिले.,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,12,naadaala prathama saarbhe 76 paenTa nie myaachaTite 88% neTa paenTa dakhala kareChila।,नादाल प्रथम सार्भे ७६ पय़ेन्ट निय़े म्याचटिते ८८% नेट पय़ेन्ट दखल करेछिल।,,
22,Hsieh also argued that the photogenic Ma was more style than substance.,शय ने यह भी तर्क दिया कि फ़ोटोजेनिक मा हक़ीक़त की तुलना में ज़्यादा बनावटी थे.,এছাড়াও সিয়েহ তর্ক করেছে যে বিচ্ছুরিত মা সত্ত্বার থেকে শৈলী বেশি ছিল।,હસિહએ પણ દલીલ કરી હતી કે ફોટોજેનિક મા સાર કરતાં વધુ શૈલી હતી.,এছাড়াও সিয়েহ তর্ক করেছে যে বিচ্ছুরিত মা সত্ত্বার থেকে শৈলী বেশি ছিল।,હસિહએ પણ દલીલ કરી હતી કે ફોટોજેનિક મા સાર કરતાં વધુ શૈલી હતી.,Hsieh also argued that the photogenic Ma was more style than substance.,शय ने यह भी तर्क दिया कि फ़ोटोजेनिक मा हक़ीक़त की तुलना में ज़्यादा बनावटी थे.,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,12,eChaaaao sieha tarka kareChe ye bichChurita maa sattbaara theke shailii beshi Chila।,एछाड़ाओ सिय़ेह तर्क करेछे ये बिच्छुरित मा सत्त्बार थेके शैली बेशि छिल।,,
24,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,आज के खिलाड़ी वॉशिगंटन कैपिटल्स के एलेक्स ओवेचकिन हैं.,আজকের প্লেয়ার অফ দ্য ডে হলেন ওয়াশিংটন ক্যাপিটালসের অ্যালেক্স ওভেককিন।,આજનો પ્લેયર ઓફ ધ ડે વોશિંગ્ટન કેપિટલ્સનો એલેક્સ ઓવેકકીન છે.,আজকের প্লেয়ার অফ দ্য ডে হলেন ওয়াশিংটন ক্যাপিটালসের অ্যালেক্স ওভেককিন।,આજનો પ્લેયર ઓફ ધ ડે વોશિંગ્ટન કેપિટલ્સનો એલેક્સ ઓવેકકીન છે.,Today's Player of the Day is Alex Ovechkin of the Washington Capitals.,आज के खिलाड़ी वॉशिगंटन कैपिटल्स के एलेक्स ओवेचकिन हैं.,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,10,aajakera pleaara apha dya De halena oyaaashi.mTana kyaapiTaalasera yaaleksa obhekakina।,आजकेर प्लेय़ार अफ द्य डे हलेन ओय़ाशिंटन क्यापिटालसेर अ्यालेक्स ओभेककिन।,,
26,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,उस रात रूकी निकल्स बैकस्ट्रॉम के खेल जिताने वाले गोल से ओवेचकिन को सबसे पहली मदद मिली.,ওভেচকিনের রাতের প্রথম সহায়তা ছিল রুকি নিকলাস ব্যাকস্ট্রম দ্বারা গেম বিজয়ী গোলে;,ઓવેકકીનને રાત્રિની પ્રથમ સહાય રમત-વિજેતા ગોલ પર નવા નિશાળિયા નિક્લાસ બેકસ્ટ્રોમ પાસેથી મળી હતી.,ওভেচকিনের রাতের প্রথম সহায়তা ছিল রুকি নিকলাস ব্যাকস্ট্রম দ্বারা গেম বিজয়ী গোলে;,ઓવેકકીનને રાત્રિની પ્રથમ સહાય રમત-વિજેતા ગોલ પર નવા નિશાળિયા નિક્લાસ બેકસ્ટ્રોમ પાસેથી મળી હતી.,Ovechkin's first assist of the night was on the game-winning goal by rookie Nicklas Backstrom;,उस रात रूकी निकल्स बैकस्ट्रॉम के खेल जिताने वाले गोल से ओवेचकिन को सबसे पहली मदद मिली.,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,12,obhechakinera raatera prathama sahaaya़taa Chila ruki nikalaasa byaakasTrama dbaaraa gema bijayaii gole;,ओभेचकिनेर रातेर प्रथम सहाय़ता छिल रुकि निकलास ब्याकस्ट्रम द्बारा गेम बिजय़ी गोले;,,
