concept_en,pair_name,src_lang,tgt_lang,prompt_source_word,generated_text,expected_target
water,ben_to_guj,ben_Beng,guj_Gujr,জল,વ્લ,પાણી
sun,ben_to_guj,ben_Beng,guj_Gujr,সূর্য,સૂર�,સૂર્ય
moon,ben_to_guj,ben_Beng,guj_Gujr,চাঁদ,ચાં,ચંદ્ર
star,ben_to_guj,ben_Beng,guj_Gujr,তারকা,તારક,તારા
flower,ben_to_guj,ben_Beng,guj_Gujr,ফুল,ફૂલ,ફૂલ
tree,ben_to_guj,ben_Beng,guj_Gujr,গাছ,ગાછ,વૃક્ષ
river,ben_to_guj,ben_Beng,guj_Gujr,নদী,નદી,નદી
mountain,ben_to_guj,ben_Beng,guj_Gujr,পাহাড়,પાહ�,પર્વત
house,ben_to_guj,ben_Beng,guj_Gujr,বাড়ি,બાડ,ઘર
door,ben_to_guj,ben_Beng,guj_Gujr,দরজা,દર્�,બારણું
window,ben_to_guj,ben_Beng,guj_Gujr,উইন্ডো,ઉંદ,વિન્ડો
road,ben_to_guj,ben_Beng,guj_Gujr,পথ,"પથ
You",રસ્તો
book,ben_to_guj,ben_Beng,guj_Gujr,বই,બેલ,પુસ્તક
school,ben_to_guj,ben_Beng,guj_Gujr,স্কুল,સ્ક�,શાળા
teacher,ben_to_guj,ben_Beng,guj_Gujr,শিক্ষক,શિક�,શિક્ષક
water,guj_to_tam,guj_Gujr,tam_Taml,પાણી,விரிவ,நீர்
sun,guj_to_tam,guj_Gujr,tam_Taml,સૂર્ય,விளை,சூரியன்
moon,guj_to_tam,guj_Gujr,tam_Taml,ચંદ્ર,சூன்,நிலவு
star,guj_to_tam,guj_Gujr,tam_Taml,તારા,தார்,நட்சத்திரம்
flower,guj_to_tam,guj_Gujr,tam_Taml,ફૂલ,புலம்,பூ
tree,guj_to_tam,guj_Gujr,tam_Taml,વૃક્ષ,வெள்�,மரங்கள்
river,guj_to_tam,guj_Gujr,tam_Taml,નદી,சூழல,நதி
mountain,guj_to_tam,guj_Gujr,tam_Taml,પર્વત,பர்வத,மலை
house,guj_to_tam,guj_Gujr,tam_Taml,ઘર,அந்த,வீடு
door,guj_to_tam,guj_Gujr,tam_Taml,બારણું,படைய,கதவு
window,guj_to_tam,guj_Gujr,tam_Taml,વિન્ડો,வின்ன,ஜன்னல்
road,guj_to_tam,guj_Gujr,tam_Taml,રસ્તો,பொரு,சாலை
book,guj_to_tam,guj_Gujr,tam_Taml,પુસ્તક,புத்த,புத்தகம்
school,guj_to_tam,guj_Gujr,tam_Taml,શાળા,செயல,பள்ளி
teacher,guj_to_tam,guj_Gujr,tam_Taml,શિક્ષક,பங்க,ஆசிரியர்
water,asm_to_ben,asm_Beng,ben_Beng,পানী,পানি,জল
sun,asm_to_ben,asm_Beng,ben_Beng,সূৰ্য,সুৰ,সূর্য
moon,asm_to_ben,asm_Beng,ben_Beng,চন্দ্ৰ,চন্দ্,চাঁদ
star,asm_to_ben,asm_Beng,ben_Beng,নক্ষত্ৰ,সুন্�,তারকা
flower,asm_to_ben,asm_Beng,ben_Beng,ফুল,ফুল,ফুল
tree,asm_to_ben,asm_Beng,ben_Beng,গাছ,"গাছ
In",গাছ
river,asm_to_ben,asm_Beng,ben_Beng,নদী,নদী,নদী
mountain,asm_to_ben,asm_Beng,ben_Beng,পৰ্ব্বত,পৃথি�,পাহাড়
house,asm_to_ben,asm_Beng,ben_Beng,ঘৰ,"গহর
To",বাড়ি
door,asm_to_ben,asm_Beng,ben_Beng,দুৱাৰ,দুৱ,দরজা
window,asm_to_ben,asm_Beng,ben_Beng,উইণ্ডো,উইণ্ড,উইন্ডো
road,asm_to_ben,asm_Beng,ben_Beng,পথ,দৈর্�,পথ
book,asm_to_ben,asm_Beng,ben_Beng,কিতাপ,কিতাপ,বই
school,asm_to_ben,asm_Beng,ben_Beng,বিদ্যালয়,শিক্ষ,স্কুল
teacher,asm_to_ben,asm_Beng,ben_Beng,শিক্ষক,শিক্ষ,শিক্ষক
water,hin_to_guj,hin_Deva,guj_Gujr,जल,"જલ
You",પાણી
sun,hin_to_guj,hin_Deva,guj_Gujr,सूर्य,સૂર�,સૂર્ય
moon,hin_to_guj,hin_Deva,guj_Gujr,चंद्रमा,ચંદ,ચંદ્ર
star,hin_to_guj,hin_Deva,guj_Gujr,तारा,તાર�,તારા
flower,hin_to_guj,hin_Deva,guj_Gujr,फूल,ફૂલ,ફૂલ
tree,hin_to_guj,hin_Deva,guj_Gujr,वृक्ष,વૃક�,વૃક્ષ
river,hin_to_guj,hin_Deva,guj_Gujr,नदी,નદી,નદી
mountain,hin_to_guj,hin_Deva,guj_Gujr,पर्वत,પર્વ,પર્વત
house,hin_to_guj,hin_Deva,guj_Gujr,घर,"ઘર
To translate",ઘર
door,hin_to_guj,hin_Deva,guj_Gujr,द्वार,દ્વ�,બારણું
window,hin_to_guj,hin_Deva,guj_Gujr,खिड़की,ખેડ�,વિન્ડો
road,hin_to_guj,hin_Deva,guj_Gujr,सड़क,સ્ટ,રસ્તો
book,hin_to_guj,hin_Deva,guj_Gujr,पुस्तक,પુસ,પુસ્તક
school,hin_to_guj,hin_Deva,guj_Gujr,विद्यालय,શાખ,શાળા
teacher,hin_to_guj,hin_Deva,guj_Gujr,शिक्षक,શૈક�,શિક્ષક
